styleID,guidePrice
1003285,21.76
1003286,19.36
1003287,20.96
1005038,13.88
1005046,13.98
1005061,14.18
1005063,12.98
1003213,7.53
1004355,5.98
1004356,7.13
1004357,6.38
1004358,6.33
1004359,6.73
1002206,21.3
1003089,17.6
1003090,17.6
1003091,17.3
1003092,17.3
1003093,14.5
1003094,14.5
1003095,13.8
1003096,21.6
1003103,13.6
1003104,14.6
1003105,14.6
1003106,14.3
1003107,14.3
1002353,8.18
1002354,7.58
1002355,6.68
1002357,7.68
1002356,8.28
1002358,6.78
1003108,9.88
1003109,8.38
1003114,9.78
1003115,8.28
1003886,8.39
1003887,7.89
1003888,7.19
1003889,6.99
1005202,6.25
1005277,6.39
1005289,6.19
1005290,6.05
1002935,4.422
1003420,4.74
1003536,4.71
1003537,4.5
1003676,4.49
1003677,4.63
1003678,4.63
1003696,4.39
1004111,4.82
1004112,4.72
1004113,4.42
1004114,4.52
1004152,4.94
1004153,5.16
1004154,4.86
1004155,4.95
1004156,4.85
1004159,4.68
1004162,4.95
1004163,4.58
1001288,3.4
1001289,3.4
1001290,3.4
1001291,3.4
1001292,3.4
1001293,3.4
1001294,3.4
1001295,3.4
1001296,3.4
1001297,3.4
1001298,3.4
1001300,3.94
1001301,3.4
1001302,3.4
1001303,3.4
1001304,3.4
1001305,3.4
1002932,4.54
1002933,4.29
1002934,4.076
1002936,4.738
1002937,4.09
1002938,4.44
1000900,7.08
1000902,6.98
1002798,39.6
1002799,49
1001706,2.79
1000980,2.89
1000981,3.39
1006418,3.68
1002667,3.59
1000940,6.78
1000941,6.78
1000942,6.78
1000943,6.78
1000944,6.78
1000946,6.78
1000945,6.78
1000947,6.78
1000952,5.58
1000953,6.08
1000954,5.58
1000955,5.58
1000956,6.08
1000957,5.58
1000958,6.08
1000959,6.08
1000960,6.08
1000961,6.08
1000962,6.08
1000963,6.08
1000964,5.88
1000965,5.88
1000966,5.88
1000967,5.88
1000968,5.88
1000969,5.88
1003434,3.73
1003435,4.38
1003436,4.03
1003437,4.58
1003749,4.88
1003750,4.58
1003751,4.48
1003752,4.18
1004565,4.29
1004566,4.49
1004567,4.49
1004568,4.69
1004569,4.19
1004570,4.39
1004571,4.39
1004572,4.59
1003455,3.28
1003456,3.48
1004631,3.28
1004632,3.48
1004633,3.28
1004634,3.48
1000410,11.28
1000411,11.78
1000418,15.58
1000419,16.29
1000423,11.99
1000425,11.99
1001800,11.98
1001802,14.69
1000448,21.73
1000001,4.03
1003385,4.56
1000016,2.98
1000017,4.03
1000018,4.03
1000019,4.22
1000020,2.98
1000021,4.03
1000023,4.22
1000024,4.28
1000026,4.28
1000027,4.38
1000032,3.28
1000014,2.98
1000015,2.98
1000022,4.03
1000025,4.38
1002999,7.1
1003000,6.6
1003001,7.7
1000884,39.4
1003720,53.3
1000886,42
1006689,24.98
1006690,24.98
1006822,8.58
1006823,8.28
1006824,7.88
1006958,5.1
1006959,4.89
1004639,10.83
