key,value
坐着,乘坐舒适性
座椅,乘坐舒适性
噪音,乘坐舒适性
视野,乘坐舒适性
胎燥,乘坐舒适性
胎噪,乘坐舒适性
风躁,乘坐舒适性
风燥,乘坐舒适性
隔音,乘坐舒适性
静音,乘坐舒适性
车稳,乘坐舒适性
平稳,乘坐舒适性
环保,环保节能
节能,环保节能
技术含量,先进技术
科技,先进技术
先进,先进技术
科技感,先进技术
保有量,品牌保有量
泛滥,品牌保有量
跟风,品牌保有量
街车,品牌保有量
街上太多,品牌保有量
满街都是,品牌保有量
热销,品牌保有量
销量,品牌保有量
很少见,品牌保有量
见得不多,品牌保有量
小众,品牌保有量
档次,品牌档次
面子,品牌档次
虚荣心,品牌档次
有档次,品牌档次
上档次,品牌档次
德国,品牌国别
德系,品牌国别
国产,品牌国别
国货,品牌国别
国产车,品牌国别
自主,品牌国别
韩国,品牌国别
韩系,品牌国别
合资,品牌国别
合资车,品牌国别
美国,品牌国别
美系,品牌国别
日本,品牌国别
日系,品牌国别
日系车,品牌国别
英伦范,品牌国别
英系,品牌国别
反馈,品牌口碑
丑闻,品牌口碑
负面新闻,品牌口碑
口碑,品牌口碑
坛友,品牌口碑
推荐,品牌口碑
不衬我,品牌形象
成熟,品牌形象
大气,品牌形象
低调,品牌形象
定位,品牌形象
风格,品牌形象
符合我,品牌形象
适合我,品牌形象
适合自己,品牌形象
高调,品牌形象
个性,品牌形象
激情,品牌形象
老气,品牌形象
年纪,品牌形象
年龄,品牌形象
牌子,品牌形象
品牌,品牌形象
朴实无华,品牌形象
实实在在,品牌形象
商务,品牌形象
适合年轻人,品牌形象
适合中年人,品牌形象
威严 ,品牌形象
文化,品牌形象
形象,品牌形象
庄重,品牌形象
无人不知,品牌知名度
影响力,品牌知名度
知名度,品牌知名度
关税,价格/优惠
价格,价格/优惠
价钱,价格/优惠
价位,价格/优惠
票子,价格/优惠
售价,价格/优惠
强加,价格/优惠
便宜,价格/优惠
经济,价格/优惠
实惠,价格/优惠
性价比,价格/优惠
预算,价格/优惠
送,价格/优惠
促销,价格/优惠
放价,价格/优惠
搞活动,价格/优惠
团购,价格/优惠
优惠,价格/优惠
直降,价格/优惠
低价,价格/优惠
性价比高,价格/优惠
保值,二手车残值
售后,售后经济性
维修,售后经济性
保养,售后经济性
养护,售后经济性
配件,售后经济性
城市,车辆用途
市区,车辆用途
出去玩,车辆用途
出游,车辆用途
公车,车辆用途
公司接待,车辆用途
家里开,车辆用途
家用,车辆用途
等不及,现车情况
等待,现车情况
等太久,现车情况
没有车,现车情况
等车,现车情况
提车时间,现车情况
提走,现车情况
提车速度,现车情况
现车,现车情况
现货,现车情况
4S店,销售服务体验
贷款,销售服务体验
服务,销售服务体验
招待,销售服务体验
试驾,销售服务体验
工作人员,销售服务体验
销售,销售服务体验
