styleID,styleName,isOnsale,modelID,modelName
1001647,2012款 1.0L 豪华型,0,3139,星旺M1
1001646,2012款 1.0L 精英型,0,3139,星旺M1
1001649,2012款 1.0L 精英版,0,3140,星旺M2
1001648,2012款 1.0L 豪华型,0,3140,星旺M2
1006,2004款 645Ci,0,270,宝马6系
1002,2006款 3.0i,0,271,宝马X3(进口)
3663,2008款 运动版 1.8L 自动GLX－S NAVI,0,526,卡罗拉
3665,2008款 2.0T 手动标准型,0,18,奥迪A6L
3666,2008款 2.0T 自动标准型,0,18,奥迪A6L
3667,2008款 2.4L 技术型,0,18,奥迪A6L
3668,2008款 2.4L 舒适型,0,18,奥迪A6L
3669,2008款 2.4L 尊贵型,0,18,奥迪A6L
3680,2008款 3.8L Sahara 两门版,0,121,牧马人
3681,2008款 2.4L 普通版,0,880,奥德赛
3682,2008款 2.4L 标准版,0,880,奥德赛
3683,2008款 2.4L 舒适版,0,880,奥德赛
3684,2008款 2.4L 豪华版,0,880,奥德赛
1022,2004款 1.6,0,437,标致206
1021,2004款 3.5 V6,0,275,欧菲莱斯
1017,2004款 2.5L 旗舰型,0,117,蒙迪欧
1013,2004款 1.8 MT,0,272,Elise
3674,2008款 4.2 FSI quattro 至尊旗舰,0,18,奥迪A6L
3675,2008款 1.3L 手动舒适型,0,484,奔奔i
3676,2008款 1.3L 手动经典型,0,484,奔奔i
3677,2008款 1.3L 手动豪华型,0,484,奔奔i
3678,2008款 1.3L 手动超值型,0,484,奔奔i
3679,2008款 3.7L,0,521,大切诺基(进口)
3690,2008款 2.0XS 自动豪华版,0,285,森林人
3691,2008款 2.0XS 豪华导航版,0,285,森林人
3692,2008款 2.5XT 自动豪华版,0,285,森林人
3693,2008款 2.5XT 豪华导航版,0,285,森林人
3694,2008款 1.8L 手动迎奥版,0,531,名爵7
3695,2010款 轿跑 2.5L 自动至尊版,0,655,睿翼
1029,2004款 2.2,0,182,威达
1024,2004款 2.0L 自动豪华型,0,22,马自达6
1023,2004款 CC 2.0,0,277,标致307(进口)
3685,2008款 750S 1.8T 迅雅版AT,0,482,荣威750
3686,2008款 750D 1.8T 商雅版AT,0,482,荣威750
3687,2008款 750S 1.8T 迅雅版MT,0,482,荣威750
3688,2008款 2.0X 舒适版,0,285,森林人
3689,2008款 2.0XS 手动豪华版,0,285,森林人
1001610,2012款 1.3L简配型DFXC13-40,0,2901,俊风CV03
1044,2004款 3.0R,0,286,傲虎
1001617,2013款 2.4L汽油两驱4G69,0,2519,威虎
1043,2004款 2.0 XT,0,285,森林人
1042,2004款 3.5L GLS,0,284,嘉华
1001619,2013款 1.3L商务标准型CA4GX13,0,3052,佳宝V80
1040,2006款 2.0T WRX轿车版,0,283,翼豹
1001616,2013款 2.8T柴油两驱VE泵,0,2519,威虎
1039,2004款 智尊 2.0L 自动旗舰型,0,63,蓝鸟经典
1038,2004款 3.5L AWD,0,281,索兰托
3696,2009款 T6 AWD智雅版,0,585,沃尔沃XC60(进口)
3697,2008款 2.0L 手动舒适型,0,536,嘉誉
3698,2008款 2.0L 手动豪华型,0,536,嘉誉
1001601,2013款 1.4L基本型厢车DK13-06,0,3036,东风小康C35
1001600,2012款 2.8T 豪华型标双排HFC4DA1-2B1,0,2581,瑞铃
1055,2004款 2.2,0,186,标致607
1001607,2012款 1.3L精英型DFXC13-40,0,2901,俊风CV03
1001608,2012款 1.3L豪华型DFXC13-40,0,2901,俊风CV03
1001603,2013款 1.3L豪华型M13R,0,3038,中意V5
1050,2004款 1.3L 自助版,0,138,美人豹
1001602,2013款 1.3L舒适型M13R,0,3038,中意V5
1001605,2012款 1.3L标准型DFXC13-40,0,2901,俊风CV03
1001604,2012款 1.3L基本型DFXC13-40,0,2901,俊风CV03
1046,2004款 2.5 i,0,287,力狮
1045,2004款 3.0 R,0,287,力狮
24418,2016款 M3 1.6L 7座豪华型 国V,0,2540,菱智
24417,2016款 索兰托L 2.4L 汽油4WD定制版 7座 国V,0,281,索兰托
24419,2016款 索兰托L 2.0T 汽油4WD定制版 5座 国V,0,281,索兰托
1066,2004款 2.2L 四驱王豪华型,0,6,赛弗
24410,2016款 索兰托L 2.4L 汽油4WD定制版 7座 国IV,0,281,索兰托
1065,2004款 2.0L 豪华型,0,13,来宝SRV
24412,2016款 M3 1.6L 7座舒适型 国V,0,2540,菱智
24411,2016款 索兰托L 2.0T 汽油4WD定制版 5座 国IV,0,281,索兰托
24414,2016款 索兰托L 2.4L 汽油2WD定制版 5座 国V,0,281,索兰托
24413,2016款 索兰托L 2.0T 汽油4WD定制版 7座 国IV,0,281,索兰托
24416,2016款 索兰托L 2.4L 汽油4WD定制版 5座 国V,0,281,索兰托
24415,2016款 M3 1.6L 7座豪华型 国IV,0,2540,菱智
36407,2019款 舒适型 9座,0,4418,菱智M5EV
36408,2019款 1.5L 手动质享型,0,3347,福睿斯
36409,2019款 1.5L 自动质享型,0,3347,福睿斯
12438,2013款 2.5i 豪华导航版,0,286,傲虎
12439,2013款 2.5i-X 豪华版,0,287,力狮
1059,2004款 N3 1.0L 两厢,0,101,夏利
1058,2004款 N3 1.3L 三厢基本型,0,101,夏利
1057,2004款 4.2L 旗舰版,0,289,总裁
1056,2004款 3.5L TOP,0,284,嘉华
12432,2012款 1.6T SW 豪华型,0,689,标致308(进口)
12433,2012款 350 典雅版,0,351,雷克萨斯RX经典
36400,2019款 GR500 C,1,4988,罗夫哈特GR500
36401,2019款 EC260 标准型,1,4380,奔奔EV
12430,2012款 1.2L 手动运动版时尚型,0,155,乐驰
36402,2019款 EC260 时尚型,1,4380,奔奔EV
36403,2019款 EC260 豪华型,1,4380,奔奔EV
12436,2012款 270 典雅版,0,351,雷克萨斯RX经典
12437,2012款 270 豪华版,0,351,雷克萨斯RX经典
36404,2019款 2.0L CVT智联舒适版 2WD,0,656,奇骏
12434,2012款 350 尊贵版,0,351,雷克萨斯RX经典
36405,2019款 2.0L CVT智联七座舒适版 2WD,0,656,奇骏
36406,2019款 舒适型 7座,0,4418,菱智M5EV
12435,2012款 350 F SPORT,0,351,雷克萨斯RX经典
24428,2016款 AMG GLS 63 4MATIC,0,3901,奔驰GLS AMG
12440,2012款 1.6L 舒适型,0,2742,景逸SUV
1077,2004款 1.3 MT,0,295,马自达RX-8
24421,2016款 2.4L 领先版,0,3872,自由光
1076,2004款 1.1L 基本型,0,67,路宝
24420,2016款 索兰托L 2.0T 汽油4WD定制版 7座 国V,0,281,索兰托
24423,2016款 2.4L 优越版,0,3872,自由光
24422,2016款 2.4L 专业版,0,3872,自由光
24425,2016款 2.0L 领先版,0,3872,自由光
1072,2004款 2.4L 行政版,0,509,奥迪A6
1071,2004款 2.8L 行政版,0,509,奥迪A6
24427,2016款 GLS 500 4MATIC,0,3688,奔驰GLS
24426,2016款 GLS 350d 4MATIC,0,3688,奔驰GLS
1070,2004款 1.6L 五门基本型,0,144,高尔
12449,2012款 E 300 L 时尚豪华型,0,197,奔驰E级
1069,2004款 1.8L 手动豪华型,0,207,桑塔纳志俊
1068,2004款 1.8L 手动基本型,0,207,桑塔纳志俊
1067,2004款 1.8L 手动出租版,0,207,桑塔纳志俊
12443,2012款 XT 1.6L 手动舒适版,0,982,英朗
12444,2012款 XT 1.6L 自动舒适版,0,982,英朗
12441,2012款 1.6L 尊享型,0,2742,景逸SUV
12442,2012款 1.6L 尊贵型,0,2742,景逸SUV
12448,2012款 E 300 L 时尚型,0,197,奔驰E级
12445,2012款 GT 1.6L 手动舒适版,0,982,英朗
12446,2012款 GT 1.6L 自动舒适版,0,982,英朗
1088,2004款 2.4L 自动GLXi,0,128,菱绅
1086,2004款 1.8L 自动GLX-S,0,109,花冠
1085,2005款 2.0L AT TOP,0,298,远舰
1084,2004款 智尊 2.0L 自动豪华型,0,63,蓝鸟经典
1082,2004款 1.3L 手动标准型,0,68,赛马
1081,2004款 350JM-VIP,0,634,天籁
12418,2012款 30 FSI 舒适型,0,18,奥迪A6L
12419,2012款 30 FSI 豪华型,0,18,奥迪A6L
12416,2012款 35 FSI 豪华型,0,18,奥迪A6L
12417,2012款 35 FSI quattro 豪华型,0,18,奥迪A6L
12410,2012款 4.0L 自动VX,0,45,兰德酷路泽
12411,2012款 4.6L 自动VX,0,45,兰德酷路泽
12414,2012款 TFSI 舒适型,0,18,奥迪A6L
12415,2012款 35 FSI 舒适型,0,18,奥迪A6L
12412,2012款 TFSI 手动基本型,0,18,奥迪A6L
12413,2012款 TFSI 标准型,0,18,奥迪A6L
24407,2016款 M3 1.6L 7座舒适型 国IV,0,2540,菱智
24406,2016款 索兰托L 2.2T 柴油4WD定制版 7座 国IV,0,281,索兰托
1090,2004款 1.6L CVT版,0,85,旗云
24409,2016款 索兰托L 2.4L 汽油4WD定制版 5座 国IV,0,281,索兰托
24408,2016款 索兰托L 2.4L 汽油2WD定制版 5座 国IV,0,281,索兰托
1099,2004款 2.5L 4X2,0,291,北京JEEP
1098,2004款 2.8 CM500S,0,141,主席
24401,2016款 V3 1.5L 7座豪华型 国V,0,2540,菱智
1097,2005款 4.0L Rubicon,0,121,牧马人
24400,2016款 V3 1.5L 7座豪华型 国IV,0,2540,菱智
24403,2016款 M3 1.6L 7座标准型 国IV,0,2540,菱智
24402,2016款 索兰托L 2.2T 柴油2WD定制版 5座 国IV,0,281,索兰托
24405,2016款 索兰托L 2.2T 柴油4WD定制版 5座 国IV,0,281,索兰托
24404,2016款 M3 1.6L 7座标准型 国V,0,2540,菱智
12429,2012款 1.2L 手动运动版活力型,0,155,乐驰
12428,2012款 1.2L 手动运动版优越型,0,155,乐驰
12422,2012款 三厢 1.6L 手动舒适型,0,1008,长安CX30
12425,2012款 1.0L 手动P-TEC优越型,0,155,乐驰
12426,2012款 1.0L 手动P-TEC活力型,0,155,乐驰
12423,2012款 三厢 1.6L 手动豪华型,0,1008,长安CX30
12424,2012款 三厢 1.6L 手动豪华低碳版,0,1008,长安CX30
1001676,2013款 2.0T欧洲版 四驱精英型 6MT小双排GW4D20B,0,2462,风骏5
1001675,2013款 2.0T欧洲版 两驱领航型 6MT大双排GW4D20B,0,2462,风骏5
1001678,2013款 2.0T欧洲版 四驱领航型 6MT小双排GW4D20B,0,2462,风骏5
1001677,2013款 2.0T欧洲版 四驱精英型 6MT大双排GW4D20B,0,2462,风骏5
1001672,2013款 2.0T欧洲版 两驱精英型 6MT小双排GW4D20B,0,2462,风骏5
1001671,2013款 2.8T欧洲版 四驱领航型大双排GW2.8TC,0,2462,风骏5
1001674,2013款 2.0T欧洲版 两驱领航型 6MT小双排GW4D20B,0,2462,风骏5
1001673,2013款 2.0T欧洲版 两驱精英型 6MT大双排GW4D20B,0,2462,风骏5
1001679,2013款 2.0T欧洲版 四驱领航型 6MT大双排GW4D20B,0,2462,风骏5
1001670,2013款 2.4L欧洲版 四驱领航型大双排4G69S4N,0,2462,风骏5
1001665,2013款 2.8T欧洲版 四驱精英型小双排GW2.8TC,0,2462,风骏5
1001664,2013款 2.4L欧洲版 四驱精英型小双排4G69S4N,0,2462,风骏5
1001667,2013款 2.8T欧洲版 四驱精英型大双排GW2.8TC,0,2462,风骏5
1001666,2013款 2.4L欧洲版 四驱精英型大双排4G69S4N,0,2462,风骏5
1001661,2013款 2.8T欧洲版 两驱领航型小双排GW2.8TC,0,2462,风骏5
1001660,2013款 2.4L欧洲版 两驱领航型小双排4G69S4N,0,2462,风骏5
1001663,2013款 2.8T欧洲版 两驱领航型大双排GW2.8TC,0,2462,风骏5
1001662,2013款 2.4L欧洲版 两驱领航型大双排4G69S4N,0,2462,风骏5
1001669,2013款 2.8T欧洲版 四驱领航型小双排GW2.8TC,0,2462,风骏5
1001668,2013款 2.4L欧洲版 四驱领航型小双排4G69S4N,0,2462,风骏5
12407,2012款 2.0L 手动舒适型,0,989,吉利GX7
12408,2012款 2.0L 手动精英型,0,989,吉利GX7
12405,2012款 1.8L 手动舒适型,0,989,吉利GX7
12406,2012款 1.8L 手动精英型,0,989,吉利GX7
12409,2012款 4.0L 自动GX-R,0,45,兰德酷路泽
12400,2012款 三厢 1.6L 手动精英版,0,470,福美来
12404,2012款 1.4L 时尚敞篷版,0,601,菲亚特500
12401,2012款 两厢 1.6L 自动精英版,0,470,福美来
12402,2012款 1.5L DVVT自动舒适型,0,2236,宝骏630
1001697,2013款 2.4L新干线豪华型 汽油长轴4G69,0,3089,蒙派克S
1001694,2013款 2.8T财富快车经典型 柴油长轴ISF2.8,0,3089,蒙派克S
1001693,2013款 2.8T新干线豪华型 柴油长轴ISF2.8,0,3089,蒙派克S
1001690,2013款 1.4L双排 DLX加长加高型K14B-A,0,2478,福瑞达
1001692,2013款 1.4L单排 DLXK14B-A,0,2478,福瑞达
1001691,2013款 1.4L单排 STDK14B-A,0,2478,福瑞达
1001687,2013款 1.4L双排 STD加长加高型K14B-A,0,2478,福瑞达
1001686,2013款 1.4L双排 STD加长型K14B-A,0,2478,福瑞达
1001689,2013款 1.4L双排 DLX加长型K14B-A,0,2478,福瑞达
1001688,2013款 1.4L双排 DLXK14B-A,0,2478,福瑞达
1001685,2013款 1.4L双排 STDK14B-A,0,2478,福瑞达
12391,2012款 经典版 1.6L 手动舒适型,0,396,瑞虎
12392,2012款 经典版 1.6L 手动豪华型,0,396,瑞虎
36360,2019款 TSI380 四驱豪华版 国V,1,4986,柯迪亚克GT
12390,2012款 精英版 2.0L 手动豪华型,0,396,瑞虎
36361,2019款 260TURBO 典雅版 国V,1,4809,INSPIRE
12395,2012款 两厢 1.6L 手动精英版,0,470,福美来
36362,2019款 260TURBO 精致版 国V,1,4809,INSPIRE
36363,2019款 240TGDi 舒适版 国V,1,4817,菲斯塔
12393,2012款 DR欧版 1.8L 手动精英型,0,396,瑞虎
36364,2019款 240TGDi 舒适版 国VI,1,4817,菲斯塔
12394,2012款 DR欧版 2.0L 自动尊贵型,0,396,瑞虎
36365,2019款 240TGDi 运动版 国V,1,4817,菲斯塔
24376,2016款 1.6L 手动舒适型,0,3873,C4世嘉
24371,2013款 2.0L CVT两驱科技版,0,2768,劲炫ASX
24370,2016款 1.5L 手动精英型7座,0,3783,长安欧尚A600
24373,2016款 1.2THP 手动舒适型,0,3873,C4世嘉
24372,2016款 1.2THP 自动豪华型,0,3873,C4世嘉
24375,2016款 1.6L 自动舒适型,0,3873,C4世嘉
24374,2016款 1.6L 手动豪华型,0,3873,C4世嘉
12399,2012款 2.4L 豪华行政版,0,2743,荣威950
36366,2019款 240TGDi 运动版 国VI,1,4817,菲斯塔
36367,2019款 280TGDi 运动版 国V,1,4817,菲斯塔
36368,2019款 280TGDi 运动版 国VI,1,4817,菲斯塔
36369,2019款 280TGDi 智速版 国V,1,4817,菲斯塔
36350,2019款 330TSI 两驱尊贵型 国V,0,4744,探岳
36351,2019款 330TSI 四驱豪华型 国V,0,4744,探岳
36352,2019款 330TSI 四驱尊贵型 国V,0,4744,探岳
36353,2019款 GLC 260 L 4MATIC 豪华型,0,3862,奔驰GLC
36354,2019款 GLC 300 L 4MATIC 动感型,0,3862,奔驰GLC
24388,2016款 1.5L 手动豪华型,0,2090,长城C30
24387,2016款 1.5L 手动舒适型,0,2090,长城C30
24389,2016款 1.5L 手动精英型,0,2090,长城C30
24382,2016款 1.8GS CVT精英版,0,3462,雷凌
24381,2016款 1.8GS-L CVT领先版,0,3462,雷凌
24384,2016款 1.6G 手动精英版,0,3462,雷凌
24383,2016款 1.6G-L CVT领先版,0,3462,雷凌
24386,2016款 1.8GS 手动精英版,0,3462,雷凌
24385,2016款 1.6G CVT精英版,0,3462,雷凌
36355,2019款 230 TID 手动豪华型 国V,1,4800,奔腾T77
36356,2019款 230 TID 自动舒适型 国V,1,4800,奔腾T77
36357,2019款 230 TID 自动尊享型米粉版 国V,1,4800,奔腾T77
36358,2019款 230 TID 自动豪华型 国V,0,4800,奔腾T77
36359,2019款 230 TID 自动尊享型 国V,1,4800,奔腾T77
12370,2012款 2.4L 手动两驱都市型,0,2123,哈弗H6
36340,2019款 DX3X酷绮 1.5L 手动尊贵型,1,4086,东南DX3
12374,2012款 1.8L 手动精英版,0,2331,旗云5
36341,2019款 DX3X酷绮 1.5T 手动旗舰型,1,4086,东南DX3
36342,2019款 DX3X酷绮 1.5T CVT尊贵型,1,4086,东南DX3
12372,2012款 ML 350 豪华型,0,57,奔驰M级
36343,2019款 20T 两驱自动4G互联铂金版,0,4080,荣威RX5
24355,2015款 ACS35 35i,0,2097,AC Schnitzer X5
24357,2016款 AMG GT,0,3451,AMG GT
24359,2015款 1.6L 手动尊尚纪念版,0,3397,瑞虎3
24358,2015款 1.6L 手动智尚纪念版,0,3397,瑞虎3
24350,2016款 两厢GS 20T 双离合纵情运动型,0,3751,威朗
12377,2012款 1.8L CVT巡航版,0,2331,旗云5
36344,2019款 20T 两驱手动Ali智联网铂金版,0,4080,荣威RX5
12378,2012款 1.6L 豪华型,0,2742,景逸SUV
36345,2019款 20T 两驱手动4G互联铂金版,0,4080,荣威RX5
12375,2012款 1.8L 手动舒适版,0,2331,旗云5
36346,2019款 30T 两驱自动Ali智联网铂金版,0,4080,荣威RX5
12376,2012款 1.8L 手动豪华版,0,2331,旗云5
36347,2019款 30T 四驱自动Ali智联网铂金版,0,4080,荣威RX5
36348,2019款 GLC 300 L 4MATIC 豪华型,0,3862,奔驰GLC
36349,2019款 330TSI 两驱舒适型 国V,0,4744,探岳
12379,2012款 1.0L 舒适型,0,2318,海马爱尚
12380,2012款 1.0L 标准型,0,2318,海马爱尚
12381,2012款 1.0L 基本型,0,2318,海马爱尚
38990,2019款 1.5T 手动舒适型 国V,1,3970,风行SX6
12384,2012款 精英版 1.6L 手动舒适型DVVT,0,396,瑞虎
38992,2019款 1.5T CVT舒适型 国V,1,3970,风行SX6
12385,2012款 精英版 1.6L 手动豪华型DVVT,0,396,瑞虎
38991,2019款 改款 1.5T 手动豪华型 国V,1,3970,风行SX6
36331,2019款 高维标准续航幂方版,1,4983,几何A
12382,2012款 3.6L 旗舰尊崇版,0,521,大切诺基(进口)
12383,2012款 2.0L 自动豪华型7座,0,951,帅客
38993,2019款 改款 1.5T CVT豪华型 国V,1,3970,风行SX6
36332,2019款 1.5T 两驱极智潮玩版,1,4984,哈弗F7x
24368,2016款 400 精英版,0,831,比亚迪e6
24367,2016款 400 豪华版,0,831,比亚迪e6
24369,2016款 1.5L 手动标准型7座,0,3783,长安欧尚A600
24360,2015款 1.6L CVT智尚纪念版,0,3397,瑞虎3
24362,2016款 2.0T SE,0,3871,发现神行
24361,2015款 1.6L CVT尊尚纪念版,0,3397,瑞虎3
24364,2016款 2.0T S,0,3871,发现神行
24363,2016款 2.0T HSE,0,3871,发现神行
12388,2012款 精英版 1.8L AMT舒适型,0,396,瑞虎
12389,2012款 精英版 1.8L AMT豪华型,0,396,瑞虎
36334,2019款 1.5L CVT智耀版,0,4531,瑞虎5x
12386,2012款 精英版 1.6S 手动舒适型,0,396,瑞虎
12387,2012款 精英版 1.6S 手动豪华型,0,396,瑞虎
36337,2019款 330TSI 两驱豪华型 国V,0,4744,探岳
36338,2019款 380TSI 四驱R-Line 国V,0,4744,探岳
38999,2020款 GLC 300 4MATIC 轿跑SUV,1,3339,奔驰GLC(进口)
36339,2019款 380TSI 四驱尊贵型 国V,0,4744,探岳
12351,2012款 1.6L AT GLS,0,413,赛拉图
38981,2019款 2.0T 两驱耀Pro版 国VI,1,4221,领克01
12352,2012款 1.8L MT TOP,0,413,赛拉图
38980,2019款 2.0T 两驱型Pro版 国VI,1,4221,领克01
36320,2019款 舒适型,0,4977,力帆820EV
36321,2019款 旗舰型,0,4977,力帆820EV
12350,2012款 1.6L AT GL,0,413,赛拉图
38982,2019款 2.0T 四驱劲Pro版 国VI,1,4221,领克01
26996,2016款 2.4T 手动两驱柴油豪华版5座,0,2228,驭胜S350
24333,2015款 掀背 1.8L 90周年赛道冠军版自动舒适型,0,835,名爵6
26997,2016款 2.4T 手动四驱柴油豪华版5座,0,2228,驭胜S350
24332,2015款 掀背 1.8L 90周年赛道冠军版手动舒适型,0,835,名爵6
24335,2016款 2.5i 豪华导航版,0,286,傲虎
24334,2016款 2.5i 经典版,0,286,傲虎
24336,2016款 2.0DIT 尊贵版,0,286,傲虎
26998,2016款 2.4T 自动两驱柴油豪华版5座,0,2228,驭胜S350
24339,2015款 1.5T CVT掌柜型 国IV,0,3793,大迈X5
26999,2016款 2.4T 自动四驱柴油豪华版5座,0,2228,驭胜S350
24338,2016款 220i 豪华设计套装,0,3941,宝马2系旅行车
26993,2016款 AMG GLA 45 4MATIC,0,3264,奔驰GLA AMG
24331,2016款 2.5i 全驱风尚版,0,287,力狮
24330,2016款 2.0DIT 全驱经典版,0,287,力狮
36322,2019款 优雅型,0,4977,力帆820EV
12355,2012款 2.0TSI 豪华型,0,905,一汽-大众CC
36323,2019款 至尊型,0,4977,力帆820EV
12356,2012款 2.0TSI 至尊型,0,905,一汽-大众CC
12353,2012款 1.8L AT TOP,0,413,赛拉图
36324,2019款 2.0T 智享版SH-AWD 国V,0,4820,讴歌RDX
38987,2019款 乐享系列 1.6L 手动惠民型,1,3128,景逸X5
38986,2020款 睿行版,1,4932,祺智EV
12354,2012款 2.0TSI 尊贵型,0,905,一汽-大众CC
36326,2019款 标准型,1,4979,欧尚长行EV
12359,2012款 1.6L 手动舒雅型 国IV,0,2429,逸动
38989,2019款 改款 1.6L 手动舒适型 国V,1,3970,风行SX6
36328,2019款 创酷版,1,4981,逸动ET
12358,2012款 1.6L 手动舒适型 国IV,0,2429,逸动
36329,2019款 230 TID 手动舒适型 国V,1,4800,奔腾T77
12362,2012款 1.6L 自动舒雅型 国IV,0,2429,逸动
12363,2012款 1.6L 自动豪华型 国IV,0,2429,逸动
12360,2012款 1.6L 手动豪华型 国IV,0,2429,逸动
36310,2019款 sDrive18Li 尊享型,0,2561,宝马X1
24343,2015款 1.5T CVT丞相型 国IV,0,3793,大迈X5
24346,2017款 Macan GTS 3.0T,0,2838,Macan
36319,2019款 A 200 L 运动轿车先行特别版,0,4764,奔驰A级
24340,2015款 1.5T CVT地主型 国IV,0,3793,大迈X5
24342,2015款 1.5T CVT总督型 国IV,0,3793,大迈X5
24341,2015款 1.5T CVT知县型 国IV,0,3793,大迈X5
12366,2012款 1.6L 手动舒适版,0,2341,启辰D50
36311,2019款 sDrive20Li 领先型,0,2561,宝马X1
12367,2012款 1.6L 自动舒适版,0,2341,启辰D50
38973,2019款 S650 双拼限量版,0,4916,Lorinser MAYBACH S级
36312,2019款 xDrive20Li 尊享型,0,2561,宝马X1
36313,2019款 xDrive20Li 豪华型,0,2561,宝马X1
38976,2019款 2.0T 两驱纯Lite版 国VI,1,4221,领克01
36314,2019款 230 TID 自动尊贵型 国V,1,4800,奔腾T77
38978,2019款 2.0T 两驱型版 国VI,1,4221,领克01
36315,2019款 Panamera GTS 4.0T,1,703,Panamera
38977,2019款 2.0T 两驱纯版 国VI,1,4221,领克01
36316,2019款 Panamera GTS Sport Turismo 4.0T,1,703,Panamera
36317,2019款 Performance高性能全轮驱动版,0,4078,Model 3(进口)
12368,2012款 T5 舒适版,0,404,沃尔沃S60(进口)
12369,2012款 T5 智尚版,0,404,沃尔沃S60(进口)
24319,2016款 3.0 SC 曜黑典藏版 HSE,0,802,发现
24318,2016款 3.0 SC 征峰限量版,0,802,发现
12330,2010款 1.5L 手动VVT无敌版,0,447,金刚
26974,2017款 525Li 领先型,0,65,宝马5系
26975,2017款 525Li 豪华设计套装,0,65,宝马5系
24313,2016款 6.0T First Edition 限量版,0,2685,添越
26973,2017款 520Li 典雅型,0,65,宝马5系
26978,2017款 528Li xDrive领先型,0,65,宝马5系
26979,2017款 528Li xDrive豪华设计套装,0,65,宝马5系
26976,2017款 528Li 领先型,0,65,宝马5系
