modelID,modelName,brandID,brandName,levelID,levelName,nation,haveOnSale,kouBeiNumOnSale,kouBeiNumHaltSale,mainBrandID,mainBrandName,categoryID,categoryName,nationID,powerID,powerName,powerCategoryID,powerCategoryName,minGuidePrice,maxGuidePrice,isCrawl,isCalc,isShow,isDelete,ventureID,ventureName,brandLevelID,brandLevelName
5438,DS 9新能源,357,长安标致雪铁龙,b,中型车,法国,2,0,0,169,DS,1,轿车,33,0,无数据,0,无数据,0,0,1,0,0,2,1,合资,2,豪华
5445,威然,58,上汽大众,mpv,MPV,德国,1,0,0,1,大众,3,MPV,49,11,汽油动力,1,燃油动力,28.68,39.98,1,1,1,2,1,合资,1,非豪华
5472,威兰达,155,广汽丰田,suva,紧凑型SUV,日本,1,0,0,3,丰田,2,SUV,81,22,PHEV,2,新能源,17.18,24.18,1,1,1,2,1,合资,1,非豪华
5476,开拓者,139,上汽通用雪佛兰,suvc,中大型SUV,美国,1,0,0,71,雪佛兰,2,SUV,1,11,汽油动力,1,燃油动力,25.99,32.99,1,1,1,2,1,合资,1,非豪华
207,桑塔纳志俊,58,上汽大众,b,中型车,德国,0,0,0,1,大众,1,轿车,49,11,汽油动力,1,燃油动力,9.08,14.9,1,1,1,2,1,合资,1,非豪华
4147,欧蓝德,355,广汽三菱,suva,紧凑型SUV,日本,1,0,0,68,三菱,2,SUV,81,11,汽油动力,1,燃油动力,15.98,22.58,1,1,1,2,1,合资,1,非豪华
4167,标致4008,38,东风标致,suva,紧凑型SUV,法国,1,0,0,13,标致,2,SUV,33,11,汽油动力,1,燃油动力,16.97,27.37,1,1,1,2,1,合资,1,非豪华
227,大捷龙,51,东南汽车,mpv,MPV,美国,0,0,0,9,克莱斯勒,3,MPV,1,11,汽油动力,1,燃油动力,24.9,35.9,1,1,1,2,1,合资,1,非豪华
4179,竞瑞,151,东风本田,a,紧凑型车,日本,1,0,0,14,本田,1,轿车,81,11,汽油动力,1,燃油动力,8.99,12.79,1,1,1,2,1,合资,1,非豪华
230,赛纳,37,东风雪铁龙,a,紧凑型车,法国,0,0,0,72,雪铁龙,1,轿车,33,11,汽油动力,1,燃油动力,12.98,18.38,1,1,1,2,1,合资,1,非豪华
4171,宝马1系,29,华晨宝马,a,紧凑型车,德国,1,0,0,15,宝马,1,轿车,49,11,汽油动力,1,燃油动力,19.88,31.98,1,1,1,2,1,合资,2,豪华
232,毕加索,37,东风雪铁龙,mpv,MPV,法国,0,0,0,72,雪铁龙,3,MPV,33,11,汽油动力,1,燃油动力,12.58,20.98,1,1,1,2,1,合资,1,非豪华
4192,全顺,447,江铃福特,qk,轻客,美国,1,0,0,8,福特,6,轻客,1,11,汽油动力,1,燃油动力,12.23,18.89,1,1,1,2,1,合资,1,非豪华
291,北京JEEP,12,北京吉普,suva,紧凑型SUV,美国,0,0,0,46,Jeep,2,SUV,1,11,汽油动力,1,燃油动力,11.5,13.86,1,1,1,2,1,合资,1,非豪华
293,富康,37,东风雪铁龙,a,紧凑型车,法国,0,0,0,72,雪铁龙,1,轿车,33,11,汽油动力,1,燃油动力,6.28,10.08,1,1,1,2,1,合资,1,非豪华
298,远舰,57,东风悦达起亚,b,中型车,韩国,0,0,0,62,起亚,1,轿车,82,11,汽油动力,1,燃油动力,12.28,19.98,1,1,1,2,1,合资,1,非豪华
2418,马自达3星骋,176,长安马自达,a,紧凑型车,日本,0,0,0,58,马自达,1,轿车,81,11,汽油动力,1,燃油动力,9.48,15.38,1,1,1,2,1,合资,1,非豪华
3751,威朗,93,上汽通用别克,a,紧凑型车,美国,1,0,0,38,别克,1,轿车,1,11,汽油动力,1,燃油动力,13.59,20.59,1,1,1,2,1,合资,1,非豪华
2466,日产D22,173,郑州日产,dp,低端皮卡,日本,0,0,0,63,日产,4,皮卡,81,11,汽油动力,1,燃油动力,13.88,18.88,1,1,1,2,1,合资,1,非豪华
5511,上汽大众ID.,58,上汽大众,suva,紧凑型SUV,德国,2,0,0,1,大众,2,SUV,49,0,无数据,0,无数据,0,0,1,0,0,2,1,合资,1,非豪华
4200,起亚KX7,57,东风悦达起亚,suvb,中型SUV,韩国,1,0,0,62,起亚,2,SUV,82,11,汽油动力,1,燃油动力,17.98,27.68,1,1,1,2,1,合资,1,非豪华
5529,标致e2008,38,东风标致,suva0,小型SUV,法国,1,0,0,13,标致,2,SUV,33,21,纯电动力,2,新能源,16.6,18.8,1,1,1,2,1,合资,1,非豪华
4204,C-TREK蔚领,8,一汽-大众,a,紧凑型车,德国,1,0,0,1,大众,1,轿车,49,11,汽油动力,1,燃油动力,11.39,16.29,1,1,1,2,1,合资,1,非豪华
5536,发现运动版,376,奇瑞捷豹路虎,suvb,中型SUV,英国,1,0,0,49,路虎,2,SUV,44,0,无数据,0,无数据,35.68,45.58,1,1,1,2,1,合资,2,豪华
4206,沃尔沃S90,367,沃尔沃亚太,c,中大型车,瑞典,1,0,0,70,沃尔沃,1,轿车,46,11,汽油动力,1,燃油动力,36.98,55.18,1,1,1,2,1,合资,2,豪华
4222,悦纳RV,27,北京现代,a0,小型车,韩国,1,0,0,12,现代,1,轿车,82,11,汽油动力,1,燃油动力,7.88,10.88,1,1,1,2,1,合资,1,非豪华
5553,雪铁龙C3L,37,东风雪铁龙,a,紧凑型车,法国,2,0,0,72,雪铁龙,1,轿车,33,11,汽油动力,1,燃油动力,0,0,1,0,0,2,1,合资,1,非豪华
5554,飞行家,563,长安林肯,suvc,中大型SUV,美国,2,0,0,51,林肯,2,SUV,1,0,无数据,0,无数据,0,0,1,0,0,2,1,合资,2,豪华
4217,柯迪亚克,162,上汽斯柯达,suvb,中型SUV,捷克,1,0,0,67,斯柯达,2,SUV,420,11,汽油动力,1,燃油动力,17.79,26.98,1,1,1,2,1,合资,1,非豪华
4232,途昂,58,上汽大众,suvc,中大型SUV,德国,1,0,0,1,大众,2,SUV,49,11,汽油动力,1,燃油动力,29.99,51.89,1,1,1,2,1,合资,1,非豪华
5556,探险者,43,长安福特,suvc,中大型SUV,美国,2,0,0,8,福特,2,SUV,1,11,汽油动力,1,燃油动力,35,40,1,1,1,2,1,合资,1,非豪华
5558,途岳新能源,58,上汽大众,suva,紧凑型SUV,德国,2,0,0,1,大众,2,SUV,49,0,无数据,0,无数据,0,0,1,0,0,2,1,合资,1,非豪华
4229,CELESTA,27,北京现代,a,紧凑型车,韩国,2,0,0,12,现代,1,轿车,82,0,无数据,0,无数据,0,0,1,0,0,2,1,合资,1,非豪华
4235,探界者,139,上汽通用雪佛兰,suvb,中型SUV,美国,1,0,0,71,雪佛兰,2,SUV,1,11,汽油动力,1,燃油动力,17.49,25.09,1,1,1,2,1,合资,1,非豪华
4239,VELITE 5,93,上汽通用别克,a,紧凑型车,美国,0,0,0,38,别克,1,轿车,1,22,PHEV,2,新能源,26.58,29.58,1,1,1,2,1,合资,1,非豪华
5584,VELITE 7,93,上汽通用别克,suva0,小型SUV,美国,2,0,0,38,别克,2,SUV,1,0,无数据,0,无数据,0,0,1,0,0,2,1,合资,1,非豪华
5586,马自达CX-30,176,长安马自达,suva,紧凑型SUV,日本,1,0,0,58,马自达,2,SUV,81,11,汽油动力,1,燃油动力,12.99,17.19,1,1,1,2,1,合资,1,非豪华
314,本田CR-V,151,东风本田,suva,紧凑型SUV,日本,1,0,0,14,本田,2,SUV,81,11,汽油动力,1,燃油动力,16.98,27.68,1,1,1,2,1,合资,1,非豪华
4260,威驰FS,40,一汽丰田,a0,小型车,日本,1,0,0,3,丰田,1,轿车,81,11,汽油动力,1,燃油动力,6.88,10.78,1,1,1,2,1,合资,1,非豪华
5593,凯迪拉克CT4,122,上汽通用凯迪拉克,b,中型车,美国,1,0,0,47,凯迪拉克,1,轿车,1,11,汽油动力,1,燃油动力,23.97,25.97,1,1,1,2,1,合资,2,豪华
5594,指南者新能源,319,广汽菲克Jeep,suva,紧凑型SUV,美国,2,0,0,46,Jeep,2,SUV,1,0,无数据,0,无数据,0,0,1,0,0,2,1,合资,1,非豪华
4266,依维柯Ouba,329,南京依维柯,qk,轻客,意大利,1,0,0,144,依维柯,6,轻客,39,12,柴油动力,1,燃油动力,27.03,44.78,1,1,1,2,1,合资,1,非豪华
4267,依维柯威尼斯之旅,329,南京依维柯,qk,轻客,意大利,0,0,0,144,依维柯,6,轻客,39,12,柴油动力,1,燃油动力,20.24,32.18,1,1,1,2,1,合资,1,非豪华
4259,YARiS L 致享,155,广汽丰田,a0,小型车,日本,1,0,0,3,丰田,1,轿车,81,11,汽油动力,1,燃油动力,6.88,10.58,1,1,1,2,1,合资,1,非豪华
4271,标致5008,38,东风标致,suvb,中型SUV,法国,1,0,0,13,标致,2,SUV,33,11,汽油动力,1,燃油动力,18.77,27.97,1,1,1,2,1,合资,1,非豪华
4274,途观L,58,上汽大众,suvb,中型SUV,德国,1,0,0,1,大众,2,SUV,49,11,汽油动力,1,燃油动力,21.88,35.98,1,1,1,2,1,合资,1,非豪华
333,途安,58,上汽大众,mpv,MPV,德国,1,0,0,1,大众,3,MPV,49,11,汽油动力,1,燃油动力,13.98,24.85,1,1,1,2,1,合资,1,非豪华
344,荣御,93,上汽通用别克,c,中大型车,美国,0,0,0,38,别克,1,轿车,1,11,汽油动力,1,燃油动力,36.8,49.8,1,1,1,2,1,合资,1,非豪华
355,颐达,92,东风日产,a,紧凑型车,日本,0,0,0,63,日产,1,轿车,81,11,汽油动力,1,燃油动力,10.68,17.98,1,1,1,2,1,合资,1,非豪华
358,途胜,27,北京现代,suva,紧凑型SUV,韩国,1,0,0,12,现代,2,SUV,82,11,汽油动力,1,燃油动力,15.59,24.18,1,1,1,2,1,合资,1,非豪华
15,宝来经典,8,一汽-大众,a,紧凑型车,德国,0,0,0,1,大众,1,轿车,49,11,汽油动力,1,燃油动力,11.25,22.19,1,1,1,2,1,合资,1,非豪华
16,捷达,8,一汽-大众,a,紧凑型车,德国,0,0,0,1,大众,1,轿车,49,11,汽油动力,1,燃油动力,7.21,13.49,1,1,1,2,1,合资,1,非豪华
18,奥迪A6L,9,一汽-大众奥迪,c,中大型车,德国,1,0,0,33,奥迪,1,轿车,49,11,汽油动力,1,燃油动力,34.3,85.63,1,1,1,2,1,合资,2,豪华
19,奥迪A4,9,一汽-大众奥迪,b,中型车,德国,0,0,0,33,奥迪,1,轿车,49,11,汽油动力,1,燃油动力,27.49,56.65,1,1,1,2,1,合资,2,豪华
360,开迪,8,一汽-大众,mpv,MPV,德国,0,0,0,1,大众,3,MPV,49,11,汽油动力,1,燃油动力,12.58,14.76,1,1,1,2,1,合资,1,非豪华
362,雨燕,35,长安铃木,a0,小型车,日本,0,0,0,53,铃木,1,轿车,81,11,汽油动力,1,燃油动力,5.48,9.98,1,1,1,2,1,合资,1,非豪华
363,马自达3,176,长安马自达,a,紧凑型车,日本,0,0,0,58,马自达,1,轿车,81,11,汽油动力,1,燃油动力,9.68,16.48,1,1,1,2,1,合资,1,非豪华
364,福克斯,43,长安福特,a,紧凑型车,美国,1,0,0,8,福特,1,轿车,1,11,汽油动力,1,燃油动力,9.98,16.99,1,1,1,2,1,合资,1,非豪华
22,马自达6,11,一汽马自达,b,中型车,日本,0,0,0,58,马自达,1,轿车,81,11,汽油动力,1,燃油动力,12.98,24.68,1,1,1,2,1,合资,1,非豪华
24,帕杰罗速跑,12,北京吉普,suvb,中型SUV,日本,0,0,0,68,三菱,2,SUV,81,11,汽油动力,1,燃油动力,18.2,38.6,1,1,1,2,1,合资,1,非豪华
25,欧蓝德经典,12,北京吉普,suva,紧凑型SUV,日本,0,0,0,68,三菱,2,SUV,81,11,汽油动力,1,燃油动力,15.48,21.98,1,1,1,2,1,合资,1,非豪华
371,普锐斯,40,一汽丰田,a,紧凑型车,日本,0,0,0,3,丰田,1,轿车,81,22,PHEV,2,新能源,22.98,27.98,1,1,1,2,1,合资,1,非豪华
375,锐志,40,一汽丰田,b,中型车,日本,0,0,0,3,丰田,1,轿车,81,11,汽油动力,1,燃油动力,20.98,35.68,1,1,1,2,1,合资,1,非豪华
382,晶锐,162,上汽斯柯达,a0,小型车,捷克,0,0,0,67,斯柯达,1,轿车,420,11,汽油动力,1,燃油动力,6.99,11.79,1,1,1,2,1,合资,1,非豪华
388,凯旋,37,东风雪铁龙,a,紧凑型车,法国,0,0,0,72,雪铁龙,1,轿车,33,11,汽油动力,1,燃油动力,14.98,20.48,1,1,1,2,1,合资,1,非豪华
45,兰德酷路泽,40,一汽丰田,suvc,中大型SUV,日本,0,0,0,3,丰田,2,SUV,81,11,汽油动力,1,燃油动力,64.5,119.4,1,1,1,2,1,合资,1,非豪华
46,普拉多,40,一汽丰田,suvc,中大型SUV,日本,1,0,0,3,丰田,2,SUV,81,11,汽油动力,1,燃油动力,36.98,69.8,1,1,1,2,1,合资,1,非豪华
397,景程,139,上汽通用雪佛兰,b,中型车,美国,0,0,0,71,雪佛兰,1,轿车,1,11,汽油动力,1,燃油动力,10.88,19.69,1,1,1,2,1,合资,1,非豪华
50,索纳塔八,27,北京现代,b,中型车,韩国,0,0,0,12,现代,1,轿车,82,11,汽油动力,1,燃油动力,16.69,24.99,1,1,1,2,1,合资,1,非豪华
51,伊兰特,27,北京现代,a,紧凑型车,韩国,0,0,0,12,现代,1,轿车,82,11,汽油动力,1,燃油动力,8.98,15.18,1,1,1,2,1,合资,1,非豪华
53,帕拉丁,173,郑州日产,suva,紧凑型SUV,日本,0,0,0,63,日产,2,SUV,81,11,汽油动力,1,燃油动力,16.48,29.98,1,1,1,2,1,合资,1,非豪华
63,蓝鸟经典,92,东风日产,b,中型车,日本,0,0,0,63,日产,1,轿车,81,11,汽油动力,1,燃油动力,15.88,21.98,1,1,1,2,1,合资,1,非豪华
65,宝马5系,29,华晨宝马,c,中大型车,德国,1,0,0,15,宝马,1,轿车,49,11,汽油动力,1,燃油动力,41.26,79.76,1,1,1,2,1,合资,2,豪华
66,宝马3系,29,华晨宝马,b,中型车,德国,1,0,0,15,宝马,1,轿车,49,11,汽油动力,1,燃油动力,28.3,66.2,1,1,1,2,1,合资,2,豪华
78,雅阁,32,广汽本田,b,中型车,日本,1,0,0,14,本田,1,轿车,81,11,汽油动力,1,燃油动力,16.98,34.28,1,1,1,2,1,合资,1,非豪华
81,飞度,32,广汽本田,a0,小型车,日本,1,0,0,14,本田,1,轿车,81,11,汽油动力,1,燃油动力,7.38,12.98,1,1,1,2,1,合资,1,非豪华
89,派力奥,34,南京菲亚特,a0,小型车,意大利,0,0,0,11,菲亚特,1,轿车,39,11,汽油动力,1,燃油动力,5.58,9.58,1,1,1,2,1,合资,1,非豪华
90,西耶那,34,南京菲亚特,a0,小型车,意大利,0,0,0,11,菲亚特,1,轿车,39,11,汽油动力,1,燃油动力,6.48,9.98,1,1,1,2,1,合资,1,非豪华
91,周末风,34,南京菲亚特,a0,小型车,意大利,0,0,0,11,菲亚特,1,轿车,39,11,汽油动力,1,燃油动力,7.21,11.68,1,1,1,2,1,合资,1,非豪华
94,羚羊,35,长安铃木,a0,小型车,日本,0,0,0,53,铃木,1,轿车,81,11,汽油动力,1,燃油动力,4.18,7.78,1,1,1,2,1,合资,1,非豪华
98,爱丽舍,37,东风雪铁龙,a,紧凑型车,法国,1,0,0,72,雪铁龙,1,轿车,33,11,汽油动力,1,燃油动力,6.88,12.58,1,1,1,2,1,合资,1,非豪华
99,标致307,38,东风标致,a,紧凑型车,法国,0,0,0,13,标致,1,轿车,33,11,汽油动力,1,燃油动力,9.28,19.18,1,1,1,2,1,合资,1,非豪华
3802,凯迪拉克CT6,122,上汽通用凯迪拉克,c,中大型车,美国,1,0,0,47,凯迪拉克,1,轿车,1,11,汽油动力,1,燃油动力,37.97,81.88,1,1,1,2,1,合资,2,豪华
3814,途睿欧,447,江铃福特,mpv,MPV,美国,1,0,0,8,福特,3,MPV,1,11,汽油动力,1,燃油动力,17.69,35.68,1,1,1,2,1,合资,1,非豪华
3817,蓝鸟,92,东风日产,a,紧凑型车,日本,1,0,0,63,日产,1,轿车,81,11,汽油动力,1,燃油动力,9.59,14.64,1,1,1,2,1,合资,1,非豪华
3823,奔驰V级,301,福建奔驰,mpv,MPV,德国,1,0,0,36,奔驰,3,MPV,49,11,汽油动力,1,燃油动力,47.18,65.18,1,1,1,2,1,合资,2,豪华
3845,指南者,319,广汽菲克Jeep,suva,紧凑型SUV,美国,1,0,0,46,Jeep,2,SUV,1,11,汽油动力,1,燃油动力,15.58,24.18,1,1,1,2,1,合资,1,非豪华
3858,维特拉,35,长安铃木,suva0,小型SUV,日本,1,0,0,53,铃木,2,SUV,81,11,汽油动力,1,燃油动力,9.98,15.98,1,1,1,2,1,合资,1,非豪华
3859,哥瑞,151,东风本田,a,紧凑型车,日本,1,0,0,14,本田,1,轿车,81,11,汽油动力,1,燃油动力,7.98,11.98,1,1,1,2,1,合资,1,非豪华
2524,新世代全顺,447,江铃福特,qk,轻客,美国,1,0,0,8,福特,6,轻客,1,11,汽油动力,1,燃油动力,14.56,24.94,1,1,1,2,1,合资,1,非豪华
2523,经典全顺,447,江铃福特,qk,轻客,美国,0,0,0,8,福特,6,轻客,1,11,汽油动力,1,燃油动力,9.28,18.66,1,1,1,2,1,合资,1,非豪华
2527,柯斯达,40,一汽丰田,qk,轻客,日本,1,0,0,3,丰田,6,轻客,81,11,汽油动力,1,燃油动力,36.5,55.89,1,1,1,2,1,合资,1,非豪华
3870,科雷嘉,375,东风雷诺,suva,紧凑型SUV,法国,1,0,0,10,雷诺,2,SUV,33,11,汽油动力,1,燃油动力,13.98,21.98,1,1,1,2,1,合资,1,非豪华
3871,发现神行,376,奇瑞捷豹路虎,suvb,中型SUV,英国,0,0,0,49,路虎,2,SUV,44,11,汽油动力,1,燃油动力,34.68,51.8,1,1,1,2,1,合资,2,豪华
2533,依维柯褒迪,329,南京依维柯,qk,轻客,意大利,0,0,0,144,依维柯,6,轻客,39,12,柴油动力,1,燃油动力,13.09,32.49,1,1,1,2,1,合资,1,非豪华
2532,依维柯得意,329,南京依维柯,qk,轻客,意大利,1,0,0,144,依维柯,6,轻客,39,12,柴油动力,1,燃油动力,9.99,18.99,1,1,1,2,1,合资,1,非豪华
3862,奔驰GLC,152,北京奔驰,suvb,中型SUV,德国,1,0,0,36,奔驰,2,SUV,49,11,汽油动力,1,燃油动力,39.08,58.78,1,1,1,2,1,合资,2,豪华
3872,自由光,319,广汽菲克Jeep,suvb,中型SUV,美国,1,0,0,46,Jeep,2,SUV,1,11,汽油动力,1,燃油动力,18.58,31.98,1,1,1,2,1,合资,1,非豪华
3873,C4世嘉,37,东风雪铁龙,a,紧凑型车,法国,1,0,0,72,雪铁龙,1,轿车,33,11,汽油动力,1,燃油动力,9.88,16.48,1,1,1,2,1,合资,1,非豪华
3876,锋范,32,广汽本田,a,紧凑型车,日本,1,0,0,14,本田,1,轿车,81,11,汽油动力,1,燃油动力,7.98,11.98,1,1,1,2,1,合资,1,非豪华
2562,奔驰GLK级,152,北京奔驰,suvb,中型SUV,德国,0,0,0,36,奔驰,2,SUV,49,11,汽油动力,1,燃油动力,37.8,55.8,1,1,1,2,1,合资,2,豪华
2561,宝马X1,29,华晨宝马,suva,紧凑型SUV,德国,1,0,0,15,宝马,2,SUV,49,11,汽油动力,1,燃油动力,25.9,49.9,1,1,1,2,1,合资,2,豪华
2565,艾力绅,151,东风本田,mpv,MPV,日本,1,0,0,14,本田,3,MPV,81,22,PHEV,2,新能源,24.98,33.58,1,1,1,2,1,合资,1,非豪华
2564,凌特,301,福建奔驰,qk,轻客,德国,1,0,0,36,奔驰,6,轻客,49,12,柴油动力,1,燃油动力,31.8,49.3,1,1,1,2,1,合资,2,豪华
2583,科帕奇,139,上汽通用雪佛兰,suvb,中型SUV,美国,0,0,0,71,雪佛兰,2,SUV,1,11,汽油动力,1,燃油动力,17.99,26.38,1,1,1,2,1,合资,1,非豪华
4304,本田UR-V,151,东风本田,suvb,中型SUV,日本,1,0,0,14,本田,2,SUV,81,11,汽油动力,1,燃油动力,24.68,32.98,1,1,1,2,1,合资,1,非豪华
4305,劲客,92,东风日产,suva0,小型SUV,日本,1,0,0,63,日产,2,SUV,81,11,汽油动力,1,燃油动力,9.98,13.88,1,1,1,2,1,合资,1,非豪华
4313,GRAND LANCER,468,中华三菱,a,紧凑型车,日本,2,0,0,68,三菱,1,轿车,81,0,无数据,0,无数据,0,0,1,0,0,2,1,合资,1,非豪华
3013,Yeti,162,上汽斯柯达,suva0,小型SUV,捷克,0,0,0,67,斯柯达,2,SUV,420,11,汽油动力,1,燃油动力,12.98,24.18,1,1,1,2,1,合资,1,非豪华
3008,帕杰罗·劲畅,355,广汽三菱,suvb,中型SUV,日本,0,0,0,68,三菱,2,SUV,81,11,汽油动力,1,燃油动力,20.88,30.88,1,1,1,2,1,合资,1,非豪华
4334,凯迪拉克CT6 PLUG-IN,122,上汽通用凯迪拉克,c,中大型车,美国,0,0,0,47,凯迪拉克,1,轿车,1,22,PHEV,2,新能源,55.88,65.88,1,1,1,2,1,合资,2,豪华
4335,沃尔沃S60新能源,367,沃尔沃亚太,b,中型车,瑞典,1,0,0,70,沃尔沃,1,轿车,46,22,PHEV,2,新能源,39.99,55.99,1,1,1,2,1,合资,2,豪华
4350,宝马5系新能源,29,华晨宝马,c,中大型车,德国,1,0,0,15,宝马,1,轿车,49,22,PHEV,2,新能源,49.69,69.86,1,1,1,2,1,合资,2,豪华
413,赛拉图,57,东风悦达起亚,a,紧凑型车,韩国,0,0,0,62,起亚,1,轿车,82,11,汽油动力,1,燃油动力,8.88,15.38,1,1,1,2,1,合资,1,非豪华
4349,奔驰C级新能源,152,北京奔驰,b,中型车,德国,0,0,0,36,奔驰,1,轿车,49,22,PHEV,2,新能源,59.9,59.9,1,1,1,2,1,合资,2,豪华
5695,ENVISION S,93,上汽通用别克,suvb,中型SUV,美国,2,0,0,38,别克,2,SUV,1,0,无数据,0,无数据,0,0,1,0,0,2,1,合资,1,非豪华
420,乐骋,139,上汽通用雪佛兰,a0,小型车,美国,0,0,0,71,雪佛兰,1,轿车,1,11,汽油动力,1,燃油动力,7.19,10.39,1,1,1,2,1,合资,1,非豪华
425,骐达TIIDA,92,东风日产,a,紧凑型车,日本,1,0,0,63,日产,1,轿车,81,11,汽油动力,1,燃油动力,9.99,17.98,1,1,1,2,1,合资,1,非豪华
4356,宝马X1新能源,29,华晨宝马,suva,紧凑型SUV,德国,1,0,0,15,宝马,2,SUV,49,22,PHEV,2,新能源,39.38,39.98,1,1,1,2,1,合资,2,豪华
429,御翔,27,北京现代,b,中型车,韩国,0,0,0,12,现代,1,轿车,82,11,汽油动力,1,燃油动力,16.58,22.38,1,1,1,2,1,合资,1,非豪华
4370,天逸 C5 AIRCROSS,37,东风雪铁龙,suva,紧凑型SUV,法国,1,0,0,72,雪铁龙,2,SUV,33,11,汽油动力,1,燃油动力,14.97,23.67,1,1,1,2,1,合资,1,非豪华
431,雅绅特,27,北京现代,a0,小型车,韩国,0,0,0,12,现代,1,轿车,82,11,汽油动力,1,燃油动力,7.18,10.58,1,1,1,2,1,合资,1,非豪华
433,马自达2,176,长安马自达,a0,小型车,日本,0,0,0,58,马自达,1,轿车,81,11,汽油动力,1,燃油动力,7.58,11.08,1,1,1,2,1,合资,1,非豪华
437,标致206,38,东风标致,a0,小型车,法国,0,0,0,13,标致,1,轿车,33,11,汽油动力,1,燃油动力,7.78,33,1,1,1,2,1,合资,1,非豪华
439,乐风,139,上汽通用雪佛兰,a0,小型车,美国,0,0,0,71,雪佛兰,1,轿车,1,11,汽油动力,1,燃油动力,7.39,10.79,1,1,1,2,1,合资,1,非豪华
4381,讴歌TLX-L,450,广汽讴歌,b,中型车,日本,1,0,0,60,讴歌,1,轿车,81,11,汽油动力,1,燃油动力,27.98,37.98,1,1,1,2,1,合资,2,豪华
4386,蒙迪欧新能源,43,长安福特,b,中型车,美国,1,0,0,8,福特,1,轿车,1,22,PHEV,2,新能源,28.08,33.78,1,1,1,2,1,合资,1,非豪华
4387,焕驰,57,东风悦达起亚,a0,小型车,韩国,1,0,0,62,起亚,1,轿车,82,11,汽油动力,1,燃油动力,4.99,7.39,1,1,1,2,1,合资,1,非豪华
