styleName,styleNamePinYin,styleNameShorthand
2020款 2.4L商运版长轴高顶4座厢货国VI 4K22D4M,2020kuan 2.4lshangyunbanchangzhougaoding4zuoxianghuoguovi 4k22d4m,2020k 2.4lsybczgd4zxhgvi 4k22d4m
2020款 2.4L商运版长轴高顶2座厢货国VI 4K22D4M,2020kuan 2.4lshangyunbanchangzhougaoding2zuoxianghuoguovi 4k22d4m,2020k 2.4lsybczgd2zxhgvi 4k22d4m
2020款 2.4L商旅版长轴高顶10座客车国VI 4K22D4M,2020kuan 2.4lshanglvbanchangzhougaoding10zuokecheguovi 4k22d4m,2020k 2.4lslbczgd10zkcgvi 4k22d4m
2020款 2.3T自动四驱柴油豪华型国VI长货箱M9T,2020kuan 2.3tzidongsiquchaiyouhaohuaxingguovichanghuoxiangm9t,2020k 2.3tzdsqcyhhxgvichxm9t
2020款 2.3T自动两驱柴油豪华型国VI长货箱M9T,2020kuan 2.3tzidongliangquchaiyouhaohuaxingguovichanghuoxiangm9t,2020k 2.3tzdlqcyhhxgvichxm9t
2020款 2.3T手动运瑞手动门长轴高顶国VI F1A,2020kuan 2.3tshoudongyunruishoudongmenchangzhougaodingguovi f1a,2020k 2.3tsdyrsdmczgdgvi f1a
2020款 2.3T手动运瑞手动门长轴短悬高顶国VI F1A,2020kuan 2.3tshoudongyunruishoudongmenchangzhouduanxuangaodingguovi f1a,2020k 2.3tsdyrsdmczdxgdgvi f1a
2020款 2.3T手动运瑞手动门长轴短悬高顶高功F1A,2020kuan 2.3tshoudongyunruishoudongmenchangzhouduanxuangaodinggaogongf1a,2020k 2.3tsdyrsdmczdxgdggf1a
2020款 2.3T手动四驱柴油标准型国VI长货箱M9T,2020kuan 2.3tshoudongsiquchaiyoubiaozhunxingguovichanghuoxiangm9t,2020k 2.3tsdsqcybzxgvichxm9t
2020款 2.3T手动商瑞手动门长轴高顶10-14座国VI F1A,2020kuan 2.3tshoudongshangruishoudongmenchangzhougaoding10-14zuoguovi f1a,2020k 2.3tsdsrsdmczgd10-14zgvi f1a
2020款 2.3T手动商瑞手动门长轴短悬高顶国VI F1A,2020kuan 2.3tshoudongshangruishoudongmenchangzhouduanxuangaodingguovi f1a,2020k 2.3tsdsrsdmczdxgdgvi f1a
2020款 2.3T手动商瑞手动门长轴短悬高顶14座高功F1A,2020kuan 2.3tshoudongshangruishoudongmenchangzhouduanxuangaoding14zuogaogongf1a,2020k 2.3tsdsrsdmczdxgd14zggf1a
2020款 2.3T手动两驱柴油豪华型国VI长货箱M9T,2020kuan 2.3tshoudongliangquchaiyouhaohuaxingguovichanghuoxiangm9t,2020k 2.3tsdlqcyhhxgvichxm9t
2020款 2.3T手动两驱柴油标准型国VI长货箱M9T,2020kuan 2.3tshoudongliangquchaiyoubiaozhunxingguovichanghuoxiangm9t,2020k 2.3tsdlqcybzxgvichxm9t
2020款 2.3T手动超瑞长轴短悬高顶国VI F1A,2020kuan 2.3tshoudongchaoruichangzhouduanxuangaodingguovi f1a,2020k 2.3tsdcrczdxgdgvi f1a
2020款 2.3T手动超瑞长轴短悬高顶高功F1A,2020kuan 2.3tshoudongchaoruichangzhouduanxuangaodinggaogongf1a,2020k 2.3tsdcrczdxgdggf1a
2020款 2.3T手动超瑞长轴短悬高顶低功F1A,2020kuan 2.3tshoudongchaoruichangzhouduanxuangaodingdigongf1a,2020k 2.3tsdcrczdxgddgf1a
2020款 2.3T手动4.5吨底盘长轴双排国VI F1A,2020kuan 2.3tshoudong4.5dundipanchangzhoushuangpaiguovi f1a,2020k 2.3tsd4.5ddpczspgvi f1a
2020款 2.3T手动4.5吨底盘长轴单排国VI F1A,2020kuan 2.3tshoudong4.5dundipanchangzhoudanpaiguovi f1a,2020k 2.3tsd4.5ddpczdpgvi f1a
2020款 2.3T 经济型物流车长轴中顶5-9座WP2.3,2020kuan 2.3t jingjixingwuliuchechangzhouzhongding5-9zuowp2.3,2020k 2.3t jjxwlcczzd5-9zwp2.3
2020款 2.3T 经济型物流车长轴高顶5-9座WP2.3,2020kuan 2.3t jingjixingwuliuchechangzhougaoding5-9zuowp2.3,2020k 2.3t jjxwlcczgd5-9zwp2.3
2020款 2.3T 经济型VAN车长轴中顶3座WP2.3,2020kuan 2.3t jingjixingvanchechangzhouzhongding3zuowp2.3,2020k 2.3t jjxvancczzd3zwp2.3
2020款 2.3T 经济型VAN车长轴高顶3座WP2.3,2020kuan 2.3t jingjixingvanchechangzhougaoding3zuowp2.3,2020k 2.3t jjxvancczgd3zwp2.3
2020款 2.0T驭途9盛世版柴油四驱尊享型长轴4F20TC,2020kuan 2.0tyutu9shengshibanchaiyousiquzunxiangxingchangzhou4f20tc,2020k 2.0tyt9ssbcysqzxxcz4f20tc
2020款 2.0T驭途9盛世版柴油四驱精英型长轴4F20TC,2020kuan 2.0tyutu9shengshibanchaiyousiqujingyingxingchangzhou4f20tc,2020k 2.0tyt9ssbcysqjyxcz4f20tc
2020款 2.0T驭途9盛世版柴油两驱尊享型长轴4F20TC,2020kuan 2.0tyutu9shengshibanchaiyouliangquzunxiangxingchangzhou4f20tc,2020k 2.0tyt9ssbcylqzxxcz4f20tc
2020款 2.0T驭途9盛世版柴油两驱精英型长轴4F20TC,2020kuan 2.0tyutu9shengshibanchaiyouliangqujingyingxingchangzhou4f20tc,2020k 2.0tyt9ssbcylqjyxcz4f20tc
2020款 2.0T驭途9柴油四驱尊享型长轴4F20TC,2020kuan 2.0tyutu9chaiyousiquzunxiangxingchangzhou4f20tc,2020k 2.0tyt9cysqzxxcz4f20tc
2020款 2.0T驭途9柴油四驱旗舰型长轴4F20TC,2020kuan 2.0tyutu9chaiyousiquqijianxingchangzhou4f20tc,2020k 2.0tyt9cysqqjxcz4f20tc
2020款 2.0T驭途9柴油四驱精英型长轴4F20TC,2020kuan 2.0tyutu9chaiyousiqujingyingxingchangzhou4f20tc,2020k 2.0tyt9cysqjyxcz4f20tc
2020款 2.0T驭途9柴油两驱尊享型长轴4F20TC,2020kuan 2.0tyutu9chaiyouliangquzunxiangxingchangzhou4f20tc,2020k 2.0tyt9cylqzxxcz4f20tc
2020款 2.0T驭途9柴油两驱旗舰型长轴4F20TC,2020kuan 2.0tyutu9chaiyouliangquqijianxingchangzhou4f20tc,2020k 2.0tyt9cylqqjxcz4f20tc
2020款 2.0T驭途9柴油两驱精英型长轴4F20TC,2020kuan 2.0tyutu9chaiyouliangqujingyingxingchangzhou4f20tc,2020k 2.0tyt9cylqjyxcz4f20tc
2020款 2.0T驭途8盛世版汽油四驱精英型长轴4G20TI5,2020kuan 2.0tyutu8shengshibanqiyousiqujingyingxingchangzhou4g20ti5,2020k 2.0tyt8ssbqysqjyxcz4g20ti5
2020款 2.0T驭途8盛世版汽油两驱精英型长轴4G20TI5,2020kuan 2.0tyutu8shengshibanqiyouliangqujingyingxingchangzhou4g20ti5,2020k 2.0tyt8ssbqylqjyxcz4g20ti5
2020款 2.0T驭途8盛世版柴油四驱精英型长轴4F20TC,2020kuan 2.0tyutu8shengshibanchaiyousiqujingyingxingchangzhou4f20tc,2020k 2.0tyt8ssbcysqjyxcz4f20tc
2020款 2.0T驭途8盛世版柴油两驱精英型长轴4F20TC,2020kuan 2.0tyutu8shengshibanchaiyouliangqujingyingxingchangzhou4f20tc,2020k 2.0tyt8ssbcylqjyxcz4f20tc
2020款 2.0T驭途8汽油四驱精英型长轴4G20TI5,2020kuan 2.0tyutu8qiyousiqujingyingxingchangzhou4g20ti5,2020k 2.0tyt8qysqjyxcz4g20ti5
2020款 2.0T驭途8汽油两驱精英型长轴4G20TI5,2020kuan 2.0tyutu8qiyouliangqujingyingxingchangzhou4g20ti5,2020k 2.0tyt8qylqjyxcz4g20ti5
2020款 2.0T驭途8柴油四驱精英型长轴4F20TC,2020kuan 2.0tyutu8chaiyousiqujingyingxingchangzhou4f20tc,2020k 2.0tyt8cysqjyxcz4f20tc
2020款 2.0T驭途8柴油两驱精英型长轴4F20TC,2020kuan 2.0tyutu8chaiyouliangqujingyingxingchangzhou4f20tc,2020k 2.0tyt8cylqjyxcz4f20tc
2020款 2.0T胜途7柴油四驱尊享型长轴4F20TC,2020kuan 2.0tshengtu7chaiyousiquzunxiangxingchangzhou4f20tc,2020k 2.0tst7cysqzxxcz4f20tc
2020款 2.0T胜途7柴油四驱精英型长轴4F20TC,2020kuan 2.0tshengtu7chaiyousiqujingyingxingchangzhou4f20tc,2020k 2.0tst7cysqjyxcz4f20tc
2020款 2.0T胜途7柴油两驱尊享型长轴4F20TC,2020kuan 2.0tshengtu7chaiyouliangquzunxiangxingchangzhou4f20tc,2020k 2.0tst7cylqzxxcz4f20tc
2020款 2.0T胜途7柴油两驱精英型长轴4F20TC,2020kuan 2.0tshengtu7chaiyouliangqujingyingxingchangzhou4f20tc,2020k 2.0tst7cylqjyxcz4f20tc
2020款 2.0T胜途5柴油四驱精英型长轴4F20TC,2020kuan 2.0tshengtu5chaiyousiqujingyingxingchangzhou4f20tc,2020k 2.0tst5cysqjyxcz4f20tc
2020款 2.0T胜途5柴油两驱精英型长轴4F20TC,2020kuan 2.0tshengtu5chaiyouliangqujingyingxingchangzhou4f20tc,2020k 2.0tst5cylqjyxcz4f20tc
2020款 2.0TGDI 自动两驱都市尊贵版,2020kuan 2.0tgdi zidongliangqudushizunguiban,2020k 2.0tgdi zdlqdszgb
2020款 2.0TGDI 自动两驱都市至尊版,2020kuan 2.0tgdi zidongliangqudushizhizunban,2020k 2.0tgdi zdlqdszzb
2020款 2.0TGDI 自动两驱都市精英版,2020kuan 2.0tgdi zidongliangqudushijingyingban,2020k 2.0tgdi zdlqdsjyb
2020款 2.0TGDI 自动两驱都市豪华版,2020kuan 2.0tgdi zidongliangqudushihaohuaban,2020k 2.0tgdi zdlqdshhb
2020款 2.0T 都市尊享版,2020kuan 2.0t dushizunxiangban,2020k 2.0t dszxb
2020款 2.0L CVT两驱都市版,2020kuan 2.0l cvtliangqudushiban,2020k 2.0l cvtlqdsb
2020款 2.0GDIT 自动GT劲擎版,2020kuan 2.0gdit zidonggtjinqingban,2020k 2.0gdit zdgtjqb
2020款 1.9T 自动四驱劲悦版 7座 国VI,2020kuan 1.9t zidongsiqujinyueban 7zuo guovi,2020k 1.9t zdsqjyb 7z gvi
2020款 1.9T 自动四驱劲悦版 5座 国VI,2020kuan 1.9t zidongsiqujinyueban 5zuo guovi,2020k 1.9t zdsqjyb 5z gvi
2020款 1.9T 自动四驱劲享版 7座 国VI,2020kuan 1.9t zidongsiqujinxiangban 7zuo guovi,2020k 1.9t zdsqjxb 7z gvi
2020款 1.9T 自动四驱劲享版 5座 国VI,2020kuan 1.9t zidongsiqujinxiangban 5zuo guovi,2020k 1.9t zdsqjxb 5z gvi
2020款 1.9T 自动两驱劲悦版 7座 国VI,2020kuan 1.9t zidongliangqujinyueban 7zuo guovi,2020k 1.9t zdlqjyb 7z gvi
2020款 1.9T 自动两驱劲悦版 5座 国VI,2020kuan 1.9t zidongliangqujinyueban 5zuo guovi,2020k 1.9t zdlqjyb 5z gvi
2020款 1.9T 自动两驱劲享版 7座 国VI,2020kuan 1.9t zidongliangqujinxiangban 7zuo guovi,2020k 1.9t zdlqjxb 7z gvi
2020款 1.9T 自动两驱劲享版 5座 国VI,2020kuan 1.9t zidongliangqujinxiangban 5zuo guovi,2020k 1.9t zdlqjxb 5z gvi
2020款 1.6T DCT劲Cool 7座,2020kuan 1.6t dctjincool 7zuo,2020k 1.6t dctjcool 7z
2020款 1.6T DCT劲Cool 6座,2020kuan 1.6t dctjincool 6zuo,2020k 1.6t dctjcool 6z
2020款 1.6T DCT劲Cool 5座,2020kuan 1.6t dctjincool 5zuo,2020k 1.6t dctjcool 5z
2020款 1.6T DCT 劲PRO,2020kuan 1.6t dct jinpro,2020k 1.6t dct jpro
2020款 1.5T 手动劲行版 7座,2020kuan 1.5t shoudongjinxingban 7zuo,2020k 1.5t sdjxb 7z
2020款 1.5T 手动劲行版 6座,2020kuan 1.5t shoudongjinxingban 6zuo,2020k 1.5t sdjxb 6z
2020款 1.5T 手动劲行版 5座,2020kuan 1.5t shoudongjinxingban 5zuo,2020k 1.5t sdjxb 5z
2020款 1.5L 自动劲享型 国VI,2020kuan 1.5l zidongjinxiangxing guovi,2020k 1.5l zdjxx gvi
2020款 1.5L 国VI标准版双排仓栅DAM15KR,2020kuan 1.5l guovibiaozhunbanshuangpaicangshandam15kr,2020k 1.5l gvibzbspcsdam15kr
2020款 1.5L 国VI标准版单排仓栅DAM15KR,2020kuan 1.5l guovibiaozhunbandanpaicangshandam15kr,2020k 1.5l gvibzbdpcsdam15kr
2020款 1.5L T20L国VI标准版双排仓栅DAM15KR,2020kuan 1.5l t20lguovibiaozhunbanshuangpaicangshandam15kr,2020k 1.5l t20lgvibzbspcsdam15kr
2020款 1.5L T20L国VI标准版单排仓栅DAM15KR,2020kuan 1.5l t20lguovibiaozhunbandanpaicangshandam15kr,2020k 1.5l t20lgvibzbdpcsdam15kr
2020款 1.5GDIT 自动铂金都市版,2020kuan 1.5gdit zidongbojindushiban,2020k 1.5gdit zdbjdsb
2020款 1.4L 自动跃劲版,2020kuan 1.4l zidongyuejinban,2020k 1.4l zdyjb
